Year,Alum Band ID,Frequency,Nest Attempt,Bird Capture Site,NestID,FlagLat,FlagLong,FlagBear,NestLat,NestLong,Nest Description,Clutch Size,Date Counted,FloatA,FloatB,FloatC,FloatD,FloatAverage,Est.Laying.Initiation,EstimatedHatch,Fate,Comments
2019,1009,149.212,1,Poland (Fernald),1009-2019-1,44.06148,-70.29598,320,44.0615,-70.29601,"Grassy Bowl in Hay Field, 30 meters from mature stand of hemlock/softwoods.",10,6/26/2019,10-12,14-16,10-12,10-12,13,6/5/2019,7/10/2019,1,"Abandoned after flushing.  Checked back 10 hours after flush and hen not on, eggs cold. Collected 1 Egg for Steph"
2019,435,149.058,1,Parker,435-2019-1,,,,45.03571,-68.55969,"Shallow bowl under some ferns, not as well covered as surronding area",NA,NA,NA,NA,NA,NA,NA,6/7/2019,7/12/2019,1,No eggs or remains found. Not clear if predated or if eggs were never laid
2019,911,150.782,2,Monroe (Cunningham),911-2019-2,44.588012,-68.992359,110,44.5879,-68.99223,grassy bowl 8 feet from gravel road in tall grass.  Forest edge is 50 feet from nest.,10,7/9/2019,22-24,22-24,22-24,16-18,22,6/8/2019,7/14/2019,0,10 Hatched eggs.  Hen Alive and relatively close by.
2019,438,149.371,2,Parker,438-2019-2,45.02539,-68.55484,318,45.02613,-68.55643,"Under a maiden hair fern, poorly hidden upon flushing, but well hidden when doing coverboards",9,6/21/2019,0,3,3,0,2,6/10/2019,7/16/2019,1,"Predated, hen off nest on 7/11, so likely happened before then. First nest never found, although likely given the start date of this nest."
2019,423,149.602,2,Euguly,423-2019-2,45.0536,-68.47463,308,45.05088,-68.47694,In a field under very thick rubus,14,6/27/2019,4-8,4-8,4-8,4-8,6,6/7/2019,7/18/2019,1,Fate not yet determined
2020,1522,149.5026,1,Roger's Farm,1522-2020-1,,,,44.933755,-68.703777,"On edge of gasline corridor in clear-cut, vertical cover from balsam fir bough, exposed on east side, nest parasitized? 11 eggs dark and bigger than 9 eggs which were light in color.",20,5/7/2020,6-8,6-8,6-8,6-8,7,4/10/2020,5/18/2020,1,"Abandoned, nest scavenged within 2 days of flush count, parasitized nest with 11 eggs darker shade and large than the other 9 eggs which were small and light shaded"
2020,396,149.323,1,Roger's Farm,396-2020-1,,,,44.902663,-68.698443,"Within hemlock stand, no vertical cover, single hemlock sapling <1m of nest",14,5/2/2020,6-8,4-8,4-8,6-8,6,4/12/2020,5/23/2020,0,"7 hatched eggs out of 14, hen close by but still able to do veg"
2020,844,150.884,1,Bradbury,844-2020-1,,,,45.01347,-68.4622,"Nest in depression under downed, dead balsam sapling; in large, open pine stand ~50m from 2-track",NA,NA,NA,NA,NA,NA,NA,4/10/2020,5/23/2020,1,Hen predated; nest bowl mostly empty except for shell membrane pieces
2020,420,149.132,1,Euguly,420-2020-1,45.01466,-68.50426,263,45.01451,-68.50522,"Against pine tree, very open on floor of needles",13,NA,NA,NA,NA,NA,NA,4/14/2020,5/25/2020,0,"10 egg caps found plus dead poult in nest bowl and unhatched, developed egg"
2020,1617,150.899,1,Bradbury,1617-2020-1,,,,45.013726,-68.390663,In briar patch 5m from dirt road,14,NA,NA,NA,NA,NA,NA,4/14/2020,5/25/2020,1,Hen predated-- previously MIA 
